name,url
FC Augsburg,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167
1.FC Union Berlin,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89
1.FC Köln,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3
Hamburger SV,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41
1.FC Heidenheim 1846,https://www.transfermarkt.com/1-fc-heidenheim-1846/startseite/verein/2036
FC St. Pauli,https://www.transfermarkt.com/fc-st-pauli/startseite/verein/35
Holstein Kiel,https://www.transfermarkt.com/holstein-kiel/startseite/verein/269
Hertha BSC,https://www.transfermarkt.com/hertha-bsc/startseite/verein/44
VfL Bochum,https://www.transfermarkt.com/vfl-bochum/startseite/verein/80
FC Schalke 04,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33
Hannover 96,https://www.transfermarkt.com/hannover-96/startseite/verein/42
Fortuna Düsseldorf,https://www.transfermarkt.com/fortuna-dusseldorf/startseite/verein/38
SV Darmstadt 98,https://www.transfermarkt.com/sv-darmstadt-98/startseite/verein/105
SC Paderborn 07,https://www.transfermarkt.com/sc-paderborn-07/startseite/verein/127
1.FC Nuremberg,https://www.transfermarkt.com/1-fc-nurnberg/startseite/verein/4
1.FC Magdeburg,https://www.transfermarkt.com/1-fc-magdeburg/startseite/verein/187
1.FC Kaiserslautern,https://www.transfermarkt.com/1-fc-kaiserslautern/startseite/verein/2
Karlsruher SC,https://www.transfermarkt.com/karlsruher-sc/startseite/verein/48
SpVgg Greuther Fürth,https://www.transfermarkt.com/spvgg-greuther-furth/startseite/verein/65
SV 07 Elversberg,https://www.transfermarkt.com/sv-07-elversberg/startseite/verein/64
Eintracht Braunschweig,https://www.transfermarkt.com/eintracht-braunschweig/startseite/verein/23
Preußen Münster,https://www.transfermarkt.com/preussen-munster/startseite/verein/91
Arminia Bielefeld,https://www.transfermarkt.com/arminia-bielefeld/startseite/verein/10
SG Dynamo Dresden,https://www.transfermarkt.com/sg-dynamo-dresden/startseite/verein/129
Manchester City,https://www.transfermarkt.com/manchester-city/startseite/verein/281
Arsenal FC,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11
Chelsea FC,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631
Liverpool FC,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31
Tottenham Hotspur,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148
Manchester United,https://www.transfermarkt.com/manchester-united/startseite/verein/985
Newcastle United,https://www.transfermarkt.com/newcastle-united/startseite/verein/762
Brighton & Hove Albion,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237
Aston Villa,https://www.transfermarkt.com/aston-villa/startseite/verein/405
Crystal Palace,https://www.transfermarkt.com/crystal-palace/startseite/verein/873
AFC Bournemouth,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989
Nottingham Forest,https://www.transfermarkt.com/nottingham-forest/startseite/verein/703
Brentford FC,https://www.transfermarkt.com/fc-brentford/startseite/verein/1148
West Ham United,https://www.transfermarkt.com/west-ham-united/startseite/verein/379
Fulham FC,https://www.transfermarkt.com/fc-fulham/startseite/verein/931
Wolverhampton Wanderers,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543
Everton FC,https://www.transfermarkt.com/fc-everton/startseite/verein/29
Leeds United,https://www.transfermarkt.com/leeds-united/startseite/verein/399
Burnley FC,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132
Sunderland AFC,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289
Southampton FC,https://www.transfermarkt.com/fc-southampton/startseite/verein/180
Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003
Ipswich Town,https://www.transfermarkt.com/ipswich-town/startseite/verein/677
Sheffield United,https://www.transfermarkt.com/sheffield-united/startseite/verein/350
Coventry City,https://www.transfermarkt.com/coventry-city/startseite/verein/990
Norwich City,https://www.transfermarkt.com/norwich-city/startseite/verein/1123
Birmingham City,https://www.transfermarkt.com/birmingham-city/startseite/verein/337
Middlesbrough FC,https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641
Bristol City,https://www.transfermarkt.com/bristol-city/startseite/verein/698
Watford FC,https://www.transfermarkt.com/fc-watford/startseite/verein/1010
West Bromwich Albion,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984
Stoke City,https://www.transfermarkt.com/stoke-city/startseite/verein/512
Hull City,https://www.transfermarkt.com/hull-city/startseite/verein/3008
Swansea City,https://www.transfermarkt.com/swansea-city/startseite/verein/2288
Queens Park Rangers,https://www.transfermarkt.com/queens-park-rangers/startseite/verein/1039
Blackburn Rovers,https://www.transfermarkt.com/blackburn-rovers/startseite/verein/164
Millwall FC,https://www.transfermarkt.com/fc-millwall/startseite/verein/1028
Preston North End,https://www.transfermarkt.com/preston-north-end/startseite/verein/466
Derby County,https://www.transfermarkt.com/derby-county/startseite/verein/22
Oxford United,https://www.transfermarkt.com/oxford-united/startseite/verein/988
Wrexham AFC,https://www.transfermarkt.com/afc-wrexham/startseite/verein/1112
Portsmouth FC,https://www.transfermarkt.com/fc-portsmouth/startseite/verein/1020
Charlton Athletic,https://www.transfermarkt.com/charlton-athletic/startseite/verein/358
Sheffield Wednesday,https://www.transfermarkt.com/sheffield-wednesday/startseite/verein/1035
Real Madrid,https://www.transfermarkt.com/real-madrid/startseite/verein/418
FC Barcelona,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131
Atlético de Madrid,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13
Athletic Bilbao,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621
Real Sociedad,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681
Villarreal CF,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050
Real Betis Balompié,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150
Sevilla FC,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368
Valencia CF,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049
Girona FC,https://www.transfermarkt.com/fc-girona/startseite/verein/12321
Celta de Vigo,https://www.transfermarkt.com/celta-vigo/startseite/verein/940
CA Osasuna,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331
RCD Mallorca,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237
Getafe CF,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709
RCD Espanyol Barcelona,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714
Rayo Vallecano,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367
Deportivo Alavés,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108
Levante UD,https://www.transfermarkt.com/ud-levante/startseite/verein/3368
Real Oviedo,https://www.transfermarkt.com/real-oviedo/startseite/verein/2497
Elche CF,https://www.transfermarkt.com/fc-elche/startseite/verein/1531
UD Almería,https://www.transfermarkt.com/ud-almeria/startseite/verein/3302
UD Las Palmas,https://www.transfermarkt.com/ud-las-palmas/startseite/verein/472
Deportivo de La Coruña,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897
Real Valladolid CF,https://www.transfermarkt.com/real-valladolid/startseite/verein/366
Racing Santander,https://www.transfermarkt.com/racing-santander/startseite/verein/630
CD Leganés,https://www.transfermarkt.com/cd-leganes/startseite/verein/1244
Real Zaragoza,https://www.transfermarkt.com/real-saragossa/startseite/verein/142
Cádiz CF,https://www.transfermarkt.com/fc-cadiz/startseite/verein/2687
Sporting Gijón,https://www.transfermarkt.com/sporting-gijon/startseite/verein/2448
Granada CF,https://www.transfermarkt.com/fc-granada/startseite/verein/16795
SD Eibar,https://www.transfermarkt.com/sd-eibar/startseite/verein/1533
Burgos CF,https://www.transfermarkt.com/burgos-cf/startseite/verein/1536
CD Castellón,https://www.transfermarkt.com/cd-castellon/startseite/verein/2502
Córdoba CF,https://www.transfermarkt.com/fc-cordoba/startseite/verein/993
Albacete Balompié,https://www.transfermarkt.com/albacete-balompie/startseite/verein/1532
SD Huesca,https://www.transfermarkt.com/sd-huesca/startseite/verein/5358
Málaga CF,https://www.transfermarkt.com/fc-malaga/startseite/verein/1084
FC Andorra,https://www.transfermarkt.com/fc-andorra/startseite/verein/10718
AD Ceuta FC,https://www.transfermarkt.com/ad-ceuta/startseite/verein/8568
Cultural Leonesa,https://www.transfermarkt.com/cultural-leonesa/startseite/verein/4542
Real Sociedad B,https://www.transfermarkt.com/real-sociedad-b/startseite/verein/9899
CD Mirandés,https://www.transfermarkt.com/cd-mirandes/startseite/verein/13222
